"","State","Percent.Bachelors","Percent.Poverty","Region"
"US","United States",24.4,12.4,""
"IL","Illinois",26.1,10.7,"MW"
"IN","Indiana",19.4,9.5,"MW"
"IA","Iowa",21.2,9.1,"MW"
"KS","Kansas",25.8,9.9,"MW"
"MI","Michigan",21.8,10.5,"MW"
"MN","Minnesota",27.4,7.9,"MW"
"MO","Missouri",21.6,11.7,"MW"
"NE","Nebraska",23.7,9.7,"MW"
"ND","North Dakota",22,11.9,"MW"
"OH","Ohio",21.1,10.6,"MW"
"SD","South Dakota",21.5,13.2,"MW"
"WI","Wisconsin",22.4,8.7,"MW"
"CT","Connecticut",31.4,7.9,"NE"
"ME","Maine",22.9,10.9,"NE"
"MA","Massachusetts",33.2,9.3,"NE"
"NH","New Hampshire",28.7,6.5,"NE"
"NJ","New Jersey",29.8,8.5,"NE"
"NY","New York",27.4,14.6,"NE"
"PA","Pennsylvania",22.4,11,"NE"
"RI","Rhode Island",25.6,11.9,"NE"
"VT","Vermont",29.4,9.4,"NE"
"AL","Alabama",19,16.1,"S"
"AR","Arkansas",16.7,15.8,"S"
"DE","Delaware",25,9.2,"S"
"DC","Washington D.C.",39.1,20.2,"S"
"FL","Florida",22.3,12.5,"S"
"GA","Georgia",24.3,13,"S"
"KY","Kentucky",17.1,15.8,"S"
"LA","Louisiana",18.7,19.6,"S"
"MD","Maryland",31.4,8.5,"S"
"MS","Mississippi",16.9,19.9,"S"
"NC","North Carolina",22.5,12.3,"S"
"OK","Oklahoma",20.3,14.7,"S"
"SC","South Carolina",20.4,14.1,"S"
"TN","Tennessee",19.6,13.5,"S"
"TX","Texas",23.2,15.4,"S"
"VA","Virginia",29.5,9.6,"S"
"WV","West Virginia",14.8,17.9,"S"
"AK","Alaska",24.7,9.4,"W"
"AZ","Arizona",23.5,13.9,"W"
"CA","California",26.6,14.2,"W"
"CO","Colorado",32.7,9.3,"W"
"HI","Hawaii",26.2,10.7,"W"
"ID","Idaho",21.7,11.8,"W"
"MT","Montana",24.4,14.6,"W"
"NV","Nevada",18.2,10.5,"W"
"NM","New Mexico",23.5,18.4,"W"
"OR","Oregon",25.1,11.6,"W"
"UT","Utah",26.1,9.4,"W"
"WA","Washington",27.7,10.6,"W"
"WY","Wyoming",21.9,11.4,"W"
