st,x,y
WA,9.8,82.7
ID,26.1,69.4
MT,38,83.2
ND,55.8,84.6
SD,56.5,72.3
MI,94.2,76
VT,138,81.5
NH,142.3,78.9
MA,143.9,72
MD,122.7,51.1
OH,101.6,57.6
PA,120.1,62.8
WV,110.1,50.2
IN,90.8,55.4
IL,82.4,55.4
MO,75.5,47.3
KS,61.1,49.8
NV,20.6,52.6
CA,13.5,43.3
AZ,32,33.3
OK,62.7,38.3
TX,60.9,21.9
AL,93.1,26.2
NC,115.3,36.4
HI,36.3,6.7
AK,10.6,16.2
OR,10.3,69
NJ,133.9,58
NY,128.6,75.6
WY,40.5,67.3
UT,33,51.6
GA,102.3,26
FL,105.9,10.5
SC,110.5,29.5
VA,117.4,43.5
NE,57.4,61.1
IA,72.5,64
ME,148.1,87
MN,69.8,80.1
WI,81.7,75.6
NM,44.6,33.1
AR,76.2,33.6
TN,92.7,37.4
KY,96.1,45.4
MS,85.1,25.2
LA,77.1,19.8
CT,139.8,66.1
DE,129.7,52.3
DC,135.1,42.8
CO,46.5,51.1
RI,145.5,66.8
