"","State","State.Code","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003"
"DC","District of Columbia",11,268.74,362.95,316.66,438.53,797.08,869.92,1265.53,648.19,325.07,279.95,126.74,58.69,63.35,89.89,60.17,40.98,22.29,29.57,37.09,37.09
"FL","Florida",12,258.26,244.89,291.84,520.2,563.9,422.91,268.21,123.14,62.94,48.22,25.59,11.04,11.9,8.65,12.98,11.19,14.3,18.5,17.13,17.75
"LA","Louisiana",22,181.87,150.23,138.17,131.22,165.91,318.82,428.2,439.58,369.58,321.49,166.86,120.63,63.09,42.14,49.84,35.68,19.88,18.01,13.35,16.11
"NV","Nevada",32,72.38,53.8,56.16,144.08,411.29,141.63,62.75,25.76,30.54,12.55,22.29,13.67,9.44,2.23,9.54,1.01,0.97,1.87,4.52,2.71
"MS","Mississippi",28,184.27,137.74,113.39,120.14,101.19,173.76,228.49,299.76,283.19,322.54,393.34,356.09,135.43,65.84,46.64,31.53,15.27,23.87,3.6,6.48
"GA","Georgia",13,163.53,161.32,144.13,172.74,290.15,391.87,380.76,237.9,124.83,78.3,55.62,62.92,39.3,33.51,24.14,30.13,22.46,20.29,23.71,29.16
"TN","Tennessee",47,97.37,121.43,95.45,102.4,151.09,221.97,277.82,170.89,146.56,137.88,117.86,89.62,83.09,67.17,41.45,63.84,46.45,25.34,11.68,13.09
"AL","Alabama",1,123.92,136.93,98.2,99.2,94.35,153.26,224.17,263.63,127.92,123.52,101.11,94.86,59.5,42.79,27.79,20.12,14.89,15.28,11.53,9.68
"CA","California",6,150.86,146.9,223.5,262.66,198.85,168.89,119.92,61.31,36.07,25.26,17.48,12.76,10.2,8.76,5.53,5.57,5.13,9.97,17.75,22.66
"NY","New York",36,122.81,116.12,120.2,230.79,261.41,222.39,194.76,138.79,87.28,49.12,27.82,14.92,7.04,5.12,4.53,3.62,3.82,7.49,10.7,17.62
"TX","Texas",48,259.4,224.77,182.94,130.23,136.94,188.84,205.88,177.8,108.72,75.99,52.56,41.82,22.57,16.88,13.52,13.53,13.45,12.81,14.96,13.95
"DE","Delaware",10,16.92,36.78,75.73,45.39,133.88,257.05,172.46,147.82,171.86,61.22,20.07,16.92,41.69,24.67,8.1,7.97,10.48,2.58,2.55,0
"SC","South Carolina",45,148.59,155.34,131.97,122.01,120.34,149.91,184.62,233.08,135.63,108.87,94.32,71.21,59.38,58.91,29.5,38.36,32.75,30.9,15.04,9.52
"CT","Connecticut",9,44.27,38.78,30.79,66.19,174.87,225.74,169.89,78.75,50.07,21.23,13.71,9.94,11.77,10.49,3.69,3.66,1.21,3,4.17,1.79
"NC","North Carolina",37,98.62,72.48,54.11,77.24,85.26,117.16,156.89,191.08,205.67,172.46,138.3,84.84,81.91,54.14,54.6,34.99,29.8,30.83,19.36,8.82
"AR","Arkansas",5,66.13,113.16,81.82,59.33,80.58,81.35,185.71,188.64,180.77,117.89,94.45,99.3,47.26,20.57,22.69,12.38,16.83,8.36,5.28,16.61
"AZ","Arizona",4,69.42,84.04,71.66,69.54,69.32,87.76,163.13,79.02,30.97,17.39,9.98,12.27,17.1,30.12,32.47,45.5,28.3,32.45,23.85,19.08
"MO","Missouri",29,26.74,17.87,15.72,14.38,22.48,19.56,31.57,73.01,137.77,148.82,111.09,58.01,22.8,11.29,10.08,8.14,2.57,2.55,1.09,4.71
"MD","Maryland",24,62.88,65.92,53.34,79.52,93.43,98.6,146.94,116.11,67.48,45.68,33.72,72.55,82.92,94.29,65.65,31.13,36.63,26.9,21.6,28.8
"PA","Pennsylvania",42,23.86,23.06,44.47,54.61,84.75,141.58,144.95,90.81,58.08,37.09,20.68,13.29,7.31,3.73,6.27,3.72,2.53,3.36,4.36,8.72
"OR","Oregon",41,35.83,28.15,51.53,123.49,99.44,65.61,44.79,23.59,14.25,15.24,1.95,1.27,3.12,4.28,0.6,1.19,2.35,2.9,4.58,11.44
"IL","Illinois",17,48.79,36.71,30.22,27.13,29.11,58.84,97.95,120.01,107.91,67.32,42.9,41.49,13.71,13.1,14,16.87,12.64,12.23,20.24,16.19
"NJ","New Jersey",34,47.57,61.76,52.82,62.98,81.94,116.31,112.73,69.62,37.26,21.84,14.44,14.3,10.89,13.06,7.22,4.44,5.13,8.47,11.02,6.71
"WA","Washington",53,29.68,19.69,46.62,40.03,57.78,92.18,60.43,28.87,11.32,9.92,7.12,2.2,1.44,1.42,4.18,4.47,5.78,4.02,5.95,6.62
"MA","Massachusetts",25,32.62,28.81,29.03,30.96,53.37,53.36,90.25,53.63,36.24,9.95,7.85,7.45,7.4,5.34,5.3,1.97,5.87,2.92,7.74,11.93
"WI","Wisconsin",55,9.49,6.03,3.44,2.99,2.12,27.78,51.67,89.66,59.25,38.87,24.59,16.87,19.43,6.94,8.81,3.8,3.77,0.37,4.46,1.49
"MI","Michigan",26,18.62,17.44,11.27,19.71,32.38,62.76,78.07,84.03,58.53,32.27,16.45,17.78,11.12,7.5,14.11,16.29,19.66,26.48,28.17,14.79
"NM","New Mexico",35,63.06,77.64,30.55,38.47,27.27,13.52,30.72,11.75,20.36,21.09,6.03,9.44,1.16,3.43,4.53,6.75,5.58,7.78,16.44,32.89
"VA","Virginia",51,44.12,29.28,28.79,22.69,31.42,46.32,73.78,71.2,51.45,55.4,67.72,45.56,28.72,14.95,10.65,11.95,12.34,5.38,4.47,5.03
"OK","Oklahoma",40,48.08,53.94,44.17,40.93,29.18,33.91,54.8,60.13,69.99,57.28,32.42,37.67,37.89,19.35,19.76,35.54,19.44,9.96,14.54,13.37
"KS","Kansas",20,13.48,8.41,11.75,8.35,8.29,20.63,18.9,62.74,57.05,34.2,14.17,10.15,5.44,6.93,4.57,2.27,0.75,6.73,5.21,2.98
"OH","Ohio",39,14.86,9.27,9.08,4.43,6.53,10.92,32.48,42.63,52.4,55.55,59.9,46.3,25.71,7.5,4.92,4,2.17,3.61,6.12,6.84
"NH","New Hampshire",33,10.48,10.27,9.98,1.94,7.55,14.79,27.52,7.37,58.47,23.49,3.57,0,0,0,1.69,0,1.64,0,6.37,11.15
"KY","Kentucky",21,23.9,14.46,13.39,7.83,13.44,11.22,21.23,19.4,31.2,56.75,21.93,29.63,18.88,19.22,16.99,12.23,14.15,7.04,9.99,2
"CO","Colorado",8,48.36,46.53,25.56,28.47,22.28,10.48,9.76,15.47,12.08,18.33,26.38,16.22,3.06,2.98,1.94,0.94,2.29,2.24,10.13,5.73
"HI","Hawaii",15,45.6,41.36,20.47,1.83,12.71,12.56,1.76,12.11,10.18,6.71,0,0,1.64,0,3.27,1.64,0,16.25,9.61,11.22
"RI","Rhode Island",44,19.58,12.95,19.24,8.44,20.94,14.59,22.79,37.09,20.56,12.31,14.35,0,2.04,0,0,2,0,3.93,17.48,25.26
"IN","Indiana",18,16.99,9.82,13.23,7.16,7.51,7.47,16.33,21.64,36.63,36.53,23.75,36.46,18.04,14.09,18.41,34.78,24.09,14.3,7.6,4.3
"AK","Alaska",2,0,0,6.97,3.52,3.5,10.4,24,0,3.23,3.17,3.16,0,0,3.14,3.11,3.09,0,0,0,0
"WY","Wyoming",56,3.9,23.71,11.98,8.32,0,0,4.4,4.34,0,4.21,0,0,0,0,0,0,0,0,0,0
"VT","Vermont",50,3.89,7.73,23,3.79,0,0,0,3.59,0,3.53,0,0,0,0,6.8,0,0,6.66,6.62,0
"SD","South Dakota",46,0,8.72,2.92,20.42,0,2.92,2.91,0,0,5.61,0,0,0,2.72,0,0,0,2.66,0,5.29
"ID","Idaho",16,20.25,6.06,20.27,8.15,4.08,2.02,9.92,3.86,3.74,1.81,0,0,0,0,1.6,0,1.53,0,4.46,11.91
"IA","Iowa",19,8.65,7.29,2.22,8.2,5.96,12.67,20.04,18.42,19.72,14.49,13.68,9.3,3.56,0.71,2.11,0,1.39,1.39,0.69,2.77
"ME","Maine",23,8.9,17.69,15.82,3.47,6.83,10.1,5,1.66,1.66,3.31,0,1.65,0,1.64,1.63,0,0,0,1.59,6.35
"MN","Minnesota",27,17.18,5.85,5.82,2.41,2.85,11.28,16.72,6.88,10.86,8.03,5.73,3.92,2.15,3.4,1.26,0.83,2.87,2.83,7.64,5.23
"UT","Utah",49,9.93,7.36,15.75,16.8,5.96,10.62,4.65,5.65,7.66,4.23,6.14,2.98,2.91,1.89,0.92,1.81,0.89,4.38,1.72,6.03
"MT","Montana",30,7.35,2.45,7.43,12.52,15.12,5.05,5.04,2.49,9.76,0,0,4.59,0,0,0,2.24,0,0,0,0
"WV","West Virginia",54,6.45,10.87,5.51,6.71,2.27,8.06,8.13,8.09,4.6,4.56,5.69,4.54,1.13,0,1.14,1.14,2.28,3.42,1.14,0
"NE","Nebraska",31,5.16,3.88,3.91,3.93,6.53,5.21,6.48,10.27,10.15,2.52,8.72,7.39,1.22,2.41,2.4,2.38,1.18,0,4.69,5.86
"ND","North Dakota",38,8.8,2.95,2.99,3.03,0,6.21,0,0,0,0,0,0,0,0,0,0,0,0,0,3.16
